channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
P4,VP003,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.672809829059829,0.31666666666666665,0.31495405179615704,0.31481481481481477,0.31666666666666665,-0.3666666666666667
P8,VP003,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6331866079765239,0.2833333333333333,0.27344410025344973,0.2708578143360752,0.2833333333333333,-0.43333333333333335
O2,VP003,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6161506024766631,0.3333333333333333,0.33259176863181317,0.3325892857142857,0.3333333333333333,-0.33333333333333326
Fp1,VP004,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6428531692608952,0.6,0.5982142857142857,0.6018099547511313,0.6,0.19999999999999996
AF5,VP004,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6661324786324787,0.5833333333333334,0.5822890559732665,0.5841750841750841,0.5833333333333333,0.16666666666666663
AFz,VP004,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6616755434964661,0.5166666666666667,0.5165323701028064,0.5166852057842046,0.5166666666666666,0.033333333333333326
F1,VP004,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6564796389145201,0.43333333333333335,0.4308035714285714,0.4321266968325792,0.43333333333333335,-0.1333333333333333
FC5,VP004,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6218163968808219,0.6166666666666667,0.6157059314954052,0.6178451178451179,0.6166666666666667,0.23333333333333328
FC1,VP004,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6238412968519099,0.43333333333333335,0.43270300333704115,0.4330357142857143,0.43333333333333335,-0.1333333333333333
T7,VP004,"{""C"": 100.0, ""gamma"": ""auto""}",0.6354962044788265,0.48333333333333334,0.48203842940685043,0.48316498316498313,0.48333333333333334,-0.03333333333333344
C3,VP004,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6849725188793065,0.65,0.6266666666666667,0.7,0.65,0.30000000000000004
Cz,VP004,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6533179252411219,0.43333333333333335,0.43270300333704115,0.4330357142857143,0.43333333333333335,-0.1333333333333333
CP5,VP004,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.6933333333333334,0.6333333333333333,0.6296296296296295,0.6388888888888888,0.6333333333333333,0.2666666666666667
CP1,VP004,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.7065492863812192,0.5833333333333334,0.5555555555555556,0.6111111111111112,0.5833333333333334,0.16666666666666663
P7,VP004,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6596218020022246,0.5833333333333334,0.5804195804195804,0.5857142857142856,0.5833333333333333,0.16666666666666663
P3,VP004,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.6825396825396826,0.55,0.5107218363032316,0.5736497545008183,0.55,0.09999999999999998
Pz,VP004,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.635983123865926,0.4666666666666667,0.4612794612794613,0.4652777777777778,0.4666666666666667,-0.06666666666666665
