channel,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,kappa_mean,kappa_std
Fp1,26,64.74358974358974,8.533493588238807,63.96182768376077,8.935184135884711,65.87240049980274,8.923889315438721,64.74358974358974,8.533493588238807,0.2948717948717948,0.17066987176477613
AF5,26,65.1923076923077,8.183003022212471,63.91860157603527,9.609035411473968,66.73959645958382,7.676288464850469,65.1923076923077,8.183003022212473,0.3038461538461539,0.16366006044424947
AFz,26,63.26923076923077,9.097994519316014,62.1546376400797,9.982891992134002,64.58307216840382,9.133120714896574,63.26923076923077,9.09799451931602,0.2653846153846154,0.18195989038632035
F1,26,61.282051282051285,8.935667509825656,60.132740412861374,9.756899007670148,62.05857406576235,8.901040202658686,61.282051282051285,8.935667509825658,0.22564102564102562,0.17871335019651313
FC5,26,63.07692307692307,7.113247542317826,62.38685994161883,7.481272208298708,63.884087591470426,7.03770652845159,63.07692307692307,7.113247542317827,0.26153846153846155,0.14226495084635654
FC1,26,59.55128205128205,9.062225533715853,58.56027462224775,9.575801468586107,60.448931804896034,9.458392437292721,59.55128205128205,9.062225533715857,0.19102564102564099,0.18124451067431713
T7,26,61.410256410256416,7.523183541446439,60.78169472691324,7.659444245504901,62.279000309433385,8.060323360671845,61.410256410256416,7.52318354144644,0.22820512820512823,0.1504636708289288
C3,26,63.717948717948715,8.410412756520499,63.08868767140328,8.55886395108691,64.73666790714344,8.766213776709861,63.717948717948715,8.410412756520499,0.27435897435897433,0.16820825513041
Cz,26,60.57692307692307,10.34883039760004,60.11771037471505,10.664100203549069,60.908884000730744,10.881222717468466,60.57692307692307,10.34883039760004,0.21153846153846154,0.20697660795200082
CP5,26,64.67948717948718,9.01873643242815,63.77477674503152,9.988148590037255,65.72847332612143,8.924129624122484,64.67948717948718,9.018736432428149,0.2935897435897436,0.18037472864856302
CP1,26,64.48717948717947,8.778372802508963,63.575658093930464,10.208164675765511,64.71344591167816,9.919333487991855,64.48717948717947,8.77837280250896,0.2897435897435897,0.17556745605017926
P7,26,62.56410256410256,8.707988276809967,62.21092509006898,8.74123246141582,63.122863476367264,8.975924388909554,62.56410256410256,8.707988276809969,0.2512820512820513,0.17415976553619938
P3,26,62.5,8.553751613570892,61.29023336568547,9.900990885271748,63.15098354952422,10.029607586112425,62.5,8.553751613570896,0.25,0.17107503227141788
Pz,26,61.34615384615384,9.17749942666823,60.371012286526906,10.175201191752857,61.74300980599578,9.911751022326504,61.34615384615384,9.177499426668232,0.2269230769230769,0.18354998853336466
POz,26,60.64102564102565,8.667652803856713,59.606764575129425,9.916938813316918,60.76054843239492,9.928102474430412,60.641025641025635,8.667652803856713,0.2128205128205128,0.17335305607713428
O1,26,55.320512820512825,8.53774925803999,54.82278792106749,8.435386455516484,55.81603343207038,9.175913778895428,55.320512820512825,8.537749258039987,0.10641025641025639,0.1707549851607998
Fp2,26,64.48717948717947,9.015655898605008,63.529016409961436,9.730109589988672,65.71781605597977,9.118780251991065,64.48717948717947,9.01565589860501,0.2897435897435897,0.18031311797210017
AF6,26,63.205128205128204,8.780319874242458,61.85380518029644,9.816608330523573,64.91016654472523,8.648316191980863,63.205128205128204,8.780319874242458,0.2641025641025641,0.17560639748484919
F2,26,61.98717948717949,9.955670977658142,61.01497605647528,10.544250971791769,62.79825991730987,10.013859185793091,61.98717948717949,9.955670977658142,0.23974358974358972,0.19911341955316283
FC2,26,59.679487179487175,10.445830968160676,58.97522130301333,10.886674003567865,60.03205964581579,10.622604521914209,59.679487179487175,10.445830968160676,0.1935897435897436,0.20891661936321354
FC6,26,60.256410256410255,10.04094182935609,58.87510475880442,10.988143821726588,61.08379506483187,10.437618807951036,60.256410256410255,10.04094182935609,0.20512820512820512,0.20081883658712182
C4,26,60.769230769230774,12.222299922052942,60.00365173274195,12.85894481525257,61.067317545499435,12.90815614837015,60.769230769230774,12.222299922052944,0.21538461538461537,0.24444599844105888
T8,26,57.11538461538461,10.46218260963098,55.726675243094725,11.331751757958296,57.56047510955439,11.405508652398083,57.11538461538461,10.462182609630984,0.1423076923076923,0.20924365219261967
CP2,26,61.410256410256416,10.756830467633192,61.06537057471621,10.86125522262369,61.89163356059577,11.358019351206066,61.410256410256416,10.756830467633192,0.22820512820512823,0.21513660935266385
CP6,26,61.410256410256416,11.524778211337205,60.76905130317175,11.997488605049742,61.775300699181734,11.786263295504746,61.410256410256416,11.524778211337205,0.22820512820512823,0.23049556422674414
P4,26,61.02564102564103,11.898430550818437,60.334691410549645,12.381961358931447,61.41013140392248,12.034469061129434,61.02564102564103,11.89843055081844,0.2205128205128205,0.2379686110163688
P8,26,59.23076923076923,12.167632557374587,58.543777446826894,12.542604368483362,59.5677049994143,12.521231463929873,59.23076923076923,12.167632557374588,0.18461538461538457,0.24335265114749177
O2,26,55.8974358974359,9.033650292480752,55.0977285387649,9.66346022517452,55.94641921702137,9.713900175540262,55.8974358974359,9.033650292480754,0.11794871794871795,0.18067300584961507
