channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa,valid,invalid_reason
Fpz,sub-001,"{""C"": 69.51927961775604, ""gamma"": ""auto""}",0.6053499343125224,0.625,0.6238621831038893,0.6265310254074299,,0.25,True,
Fpz,sub-002,"{""C"": 0.20691380811147894, ""gamma"": ""scale""}",0.5969935518968303,0.525,0.5249881247031176,0.525002500250025,,0.050000000000000044,True,
Fpz,sub-003,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.5969963729673567,0.57,0.5696126513862476,0.5702529104777199,,0.14,True,
Fpz,sub-004,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6084779768861999,0.47,0.4665861513687601,0.46921182266009853,,-0.06000000000000005,True,
Fpz,sub-005,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6104667289519352,0.555,0.5540970465192014,0.5554491380179454,,0.10999999999999999,True,
Fpz,sub-006,"{""C"": 69.51927961775604, ""gamma"": ""scale""}",0.5909897747443686,0.55,0.5495946351716545,0.5501806503412284,,0.09999999999999998,True,
Fpz,sub-007,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.5917484989978254,0.54,0.5353535353535354,0.5416666666666667,,0.07999999999999996,True,
Fpz,sub-008,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5857808780845067,0.545,0.544897601960441,0.5450405364828346,,0.08999999999999997,True,
Fpz,sub-009,"{""C"": 48.32930238571752, ""gamma"": ""auto""}",0.5938375350140056,0.5,0.4987468671679198,0.5,,0.0,True,
Fpz,sub-010,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6058261693406792,0.495,0.49040086783218545,0.4948127399107791,,-0.010000000000000009,True,
Fpz,sub-011,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5999935998975984,0.57,0.568922305764411,0.5707070707070707,,0.14,True,
Fpz,sub-012,"{""C"": 33.59818286283781, ""gamma"": ""scale""}",0.5899934398950384,0.48,0.47953157842057853,0.4799277398635087,,-0.040000000000000036,True,
Fpz,sub-013,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5899077292390789,0.57,0.567882624861823,0.5713994288045696,,0.14,True,
Fpz,sub-014,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5915817797424563,0.5,0.49979991996798717,0.5,,0.0,True,
Fpz,sub-015,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5928204338113108,0.605,0.6049111049986247,0.6050945851266138,,0.20999999999999996,True,
Fpz,sub-016,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5948213162004444,0.51,0.5087719298245614,0.51010101010101,,0.020000000000000018,True,
Fpz,sub-017,"{""C"": 7.847599703514611, ""gamma"": ""scale""}",0.6008559089831429,0.585,0.5849066039858968,0.5850765689120208,,0.17000000000000004,True,
Fpz,sub-018,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.607499116873013,0.46,0.45804897631473307,0.4594155844155844,,-0.08000000000000007,True,
Fpz,sub-019,"{""C"": 7.847599703514611, ""gamma"": ""auto""}",0.602363782051282,0.505,0.5028997514498756,0.5050859525989218,,0.010000000000000009,True,
Fpz,sub-020,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6056210017827133,0.765,0.7649471131004475,0.765238714843359,,0.53,True,
Fpz,sub-021,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5933754712380667,0.58,0.5757575757575757,0.5833333333333333,,0.16000000000000003,True,
Fpz,sub-022,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.5963133958672396,0.565,0.5610383713009914,0.5674343811598714,,0.13,True,
Fpz,sub-023,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6189641683617587,0.6733668341708543,0.6721747725371925,0.6764675697865353,,0.34714581335486805,True,
Fpz,sub-024,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6023328803929852,0.79,0.7894736842105263,0.7929292929292929,,0.5800000000000001,True,
Fpz,sub-025,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5933163648092443,0.675,0.6740138920233707,0.6771434355704019,,0.35,True,
Fpz,sub-026,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5973475079044996,0.5728643216080402,0.5464782690296807,0.5971780604133545,,0.14781601088216034,True,
Fpz,sub-027,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.608693215480937,0.55,0.5483741469289443,0.5507305194805194,,0.09999999999999998,True,
Fpz,sub-028,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6152875425453708,0.595,0.5836652874508493,0.6066098081023454,,0.18999999999999995,True,
Fpz,sub-029,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6049225648227052,0.515,0.5095932657549483,0.5156920179935139,,0.030000000000000027,True,
Fpz,sub-030,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6034166183440068,0.465,0.46466541588492805,0.4649122807017544,,-0.07000000000000006,True,
Fpz,sub-031,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6074056792144313,0.625,0.6247654784240151,0.62531328320802,,0.25,True,
Fpz,sub-032,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6107794042116076,0.495,0.4948863494286215,0.4949954959463517,,-0.010000000000000009,True,
Fpz,sub-033,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5847803488045176,0.66,0.6596937243519168,0.660578081091931,,0.31999999999999995,True,
Fpz,sub-034,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6076468821939746,0.485,0.48498712467811694,0.484998499849985,,-0.030000000000000027,True,
Fpz,sub-035,"{""C"": 48.32930238571752, ""gamma"": ""scale""}",0.5834874004938649,0.76,0.7597838054248824,0.7609393817743877,,0.52,True,
Fpz,sub-036,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6124293652518171,0.73,0.7297567811029927,0.7308309915696507,,0.45999999999999996,True,
Fpz,sub-037,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.5951476772661408,0.485,0.4848840989222575,0.4849864878390552,,-0.030000000000000027,True,
Fpz,sub-038,"{""C"": 16.23776739188721, ""gamma"": ""scale""}",0.5964974781092383,0.55,0.5248653785239151,0.5634195839675291,,0.09999999999999998,True,
Fpz,sub-039,"{""C"": 5.455594781168517, ""gamma"": ""scale""}",0.6144189315803648,0.49,0.4895405865278751,0.48996386993175434,,-0.020000000000000018,True,
Fpz,sub-040,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.6002976506856597,0.58,0.5765702187720536,0.5826787928896238,,0.16000000000000003,True,
Fpz,sub-041,"{""C"": 3.79269019073225, ""gamma"": ""scale""}",0.6068580757653512,0.64,0.6396757081373237,0.6405058209554395,,0.28,True,
Fpz,sub-042,"{""C"": 1.8329807108324356, ""gamma"": ""scale""}",0.6159446960362291,0.575,0.5702621400945423,0.5784600899675698,,0.15000000000000002,True,
Fpz,sub-043,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.619396380664636,0.65,0.6491228070175439,0.6515151515151515,,0.30000000000000004,True,
