channel,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,kappa_mean,kappa_std
Fpz,51,57.58084540348803,8.289164456731026,57.27876495005345,8.371154961452708,57.7863924578928,8.359172832455219,0.15166591812229466,0.16579160685543834
Fp1,51,62.95546359247217,9.184830397934235,62.314638691892085,9.796476325064523,63.42279071579051,9.520086517075462,0.2591201938353447,0.1837085301858648
Fp2,51,60.04148191940093,9.089341032337062,59.711472846110894,9.255872343974621,60.28112009512532,9.197381896109649,0.20083005581151214,0.1817851131215637
AF3,51,63.671396196669626,9.331775835393458,63.31648061435108,9.448752974964599,64.20880448742024,9.608995382080272,0.27342245791803377,0.1866333572741401
AF4,51,61.08247117942655,9.068905390781806,60.791098072708905,9.209582903525787,61.35583544472237,9.282646731614296,0.22165201810207016,0.18137239351323045
AF7,51,66.60326140506454,10.767390849772038,65.9874530824334,11.364628912406465,67.27718233098093,10.944316501568602,0.3320570245255371,0.2153516628145706
AF8,51,67.38851118336783,11.172660930369997,67.15546323150056,11.258604276932026,67.86426445247064,11.312237701121571,0.3477647177674942,0.22344780057170982
Fz,51,59.76647945610405,9.418139648828921,59.24348484464852,9.682092463505331,60.211851938449904,9.594475582236946,0.1953526358920165,0.18835212681659835
F1,51,63.613016060695635,9.649562000715887,63.041087072218126,10.130122802143024,64.18208048577588,9.886702463769934,0.27226383334536264,0.19299524640143262
F2,51,64.09468913193417,10.447241198614126,63.89006023474278,10.542623286933726,64.34995177429506,10.525061056688893,0.2818873895918898,0.20893487425785612
F3,51,66.41738102276086,10.378246967019246,65.96572983980758,10.838266519484135,66.94108983635354,10.479910616038383,0.3283439618784776,0.2075600895166312
F4,51,65.96753374716721,10.890791927316835,65.70128769581754,11.088736397734491,66.31243120874109,11.094874487429319,0.31934676229001374,0.2178104163771707
F5,51,68.27027293329392,10.061651976068115,67.77338198061368,10.577010997525575,68.93831430726252,10.163652678702197,0.3653841001717214,0.20122710339927735
F6,51,68.99733963937334,10.982511582587112,68.77883025138856,11.083422733785495,69.47859135791002,11.188263256957425,0.3799394726197907,0.21964191683840265
F7,51,70.1822347029264,10.756935928463038,69.72929288512012,11.309033479311257,70.78202541910187,10.837425557649283,0.403634065664088,0.21513798587057836
F8,51,70.72253423982659,12.205072533198685,70.46059363909208,12.50508783938023,71.07908566207837,12.386015726702299,0.41444469035449677,0.24409686567582467
FCz,51,63.35550300522219,11.184451122817233,63.1570463286129,11.260876104257624,63.60012504476676,11.252916399890262,0.2671184342848409,0.22369000359672608
FC1,51,65.38811705586757,10.52691305548508,65.08374556704159,10.77908477798979,65.7084397293633,10.616236886918488,0.30775376749992567,0.21052734487442756
FC2,51,64.6035077347522,10.233899603779664,64.3681239484776,10.39623519944426,64.84292566443094,10.301855813749583,0.2920653363644018,0.20467238881638533
FC3,51,67.44698985121687,9.895537905581955,67.11383771993668,10.13454127069308,67.98808240347385,10.022166189273854,0.3489314773195251,0.19790175766168291
FC4,51,66.6830229579269,10.839024317154218,66.48981817288838,10.906615944139823,67.07771401301967,11.106937389383944,0.3336519242750193,0.21677075751187144
FC5,51,69.81017834269386,11.239731196144115,69.45422168983134,11.613245812581967,70.35155781898213,11.51375973006912,0.3961938061789556,0.2247839214915696
FC6,51,69.72233717607646,11.795258600241118,69.60090617352829,11.856742747954712,69.99723820378398,11.919391610060377,0.3944391153004927,0.23589859746873817
FT7,51,71.31939107301213,10.647178129891502,70.80537023687775,11.26146640897787,72.11334934880566,10.678169219383618,0.42638775882057817,0.21293867952083215
FT8,51,71.19307320918317,11.936202922999229,70.99135909944854,12.093156677968103,71.57227532979667,11.964670206985955,0.4238555744124101,0.23872004196461796
Cz,51,63.99448221499655,10.496573548691448,63.68122056142433,10.724373666690736,64.34528225724486,10.716062245622838,0.27990717551639527,0.20994673323305582
C1,51,64.43748152527343,10.455383562206796,64.25019958234415,10.535160848692616,64.72407807595462,10.674682472752911,0.2887469570286551,0.20910287889220733
C2,51,63.69051138043158,9.496191207607211,63.49208049612024,9.556587772706164,64.01679382518697,9.80880750847728,0.2737994158764112,0.1899114060914182
C3,51,65.25061582421914,9.116444033145832,64.87649524555013,9.428684849138197,65.73463137032186,9.540296550545216,0.3049994629580909,0.18231568441236695
C4,51,64.45497093309686,8.902398653697386,64.2597299422699,8.940498437489017,64.8136729596012,9.159258313896828,0.2890684492302173,0.1780268984170868
C5,51,66.90526160212829,10.937556202161902,66.40921169715756,11.479840143125477,67.40906585643496,11.420627942930258,0.338123047017378,0.21872883162627282
C6,51,66.97492363779683,10.208204782083373,66.79498420598057,10.286038364523908,67.3297392547955,10.421122143291555,0.33946838858911854,0.2041495826024702
T7,51,68.74859592078037,9.480641981846137,68.43864245716286,9.698305850001251,69.31741448892545,9.657036800613287,0.37499543977855804,0.18958546049640104
