channel,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,kappa_mean,kappa_std
Fz,21,54.43452380952382,8.270109870002015,52.80984753016244,9.323628402277489,54.49423702979684,9.006974962474052,54.43452380952382,8.270109870002015,0.0886904761904762,0.1654021974000403
FCz,21,54.55357142857144,7.474286277441,53.36581237393728,8.175062907501767,54.747258770345965,8.150046216957167,54.55357142857144,7.474286277441,0.09107142857142857,0.14948572554882003
Cz,21,55.17857142857143,6.480568482559448,53.853656643560676,7.27721879482937,55.647430934879736,6.927030434734531,55.17857142857143,6.480568482559448,0.10357142857142858,0.12961136965118894
CPz,21,54.672619047619044,6.550939363756854,53.96720605372701,6.935500819485221,54.890141077288966,6.979573353524453,54.67261904761905,6.550939363756854,0.09345238095238095,0.13101878727513705
Pz,21,54.79166666666666,5.797134708917271,54.09714538838431,6.1549670455840655,55.045889638352655,6.033274564879057,54.79166666666666,5.797134708917272,0.09583333333333333,0.11594269417834542
C1,21,51.33928571428571,4.954029744994041,49.53651323402814,5.402134009015693,51.74240796719659,5.911091568781913,51.33928571428571,4.954029744994042,0.02678571428571428,0.0990805948998808
C3,21,50.148809523809526,3.6384704563737715,48.6781880768391,4.5688812959271035,50.439816800753604,3.972039247766607,50.148809523809526,3.6384704563737706,0.0029761904761904656,0.07276940912747545
C5,21,51.636904761904766,4.7904372128727655,50.1338062428055,5.7104227833823495,51.954019236685035,5.3641064682046835,51.636904761904766,4.7904372128727655,0.03273809523809525,0.09580874425745531
C2,21,58.36309523809524,8.024562367536078,57.775121109657626,8.175280363395489,58.83817910000085,8.216981790735819,58.36309523809524,8.024562367536078,0.16726190476190475,0.1604912473507215
C4,21,61.16071428571429,9.400560393630037,60.7742366741799,9.588461748871433,61.506764484787325,9.550567291708289,61.16071428571429,9.400560393630037,0.22321428571428573,0.18801120787260076
C6,21,62.73809523809524,9.685435647944608,62.41667965539648,9.775483645042454,63.137245838307564,9.76561595877604,62.73809523809524,9.685435647944608,0.25476190476190474,0.19370871295889217
F4,21,59.345238095238095,8.607037887129124,58.95110058636233,8.734579913231439,59.66518766501883,8.734378083406929,59.345238095238095,8.607037887129126,0.1869047619047619,0.1721407577425825
FC2,21,57.97619047619048,8.745321878690614,57.26489390942733,9.349757473593632,58.14619118913426,9.267779312452685,57.97619047619048,8.745321878690616,0.15952380952380954,0.1749064375738123
FC4,21,61.33928571428571,9.092162048395625,60.99251700195143,9.213423086057167,61.704473679186634,9.275983576877952,61.33928571428571,9.092162048395624,0.22678571428571428,0.1818432409679125
FC6,21,63.988095238095234,10.479660714473354,63.73681352806004,10.511988313741151,64.43941615206072,10.736581348410015,63.988095238095234,10.479660714473354,0.27976190476190477,0.2095932142894671
CP2,21,55.98214285714286,6.457709263242767,55.35669587332558,6.825186698086531,56.195960818937166,6.792498617946485,55.98214285714286,6.457709263242767,0.11964285714285715,0.1291541852648553
CP4,21,58.958333333333336,7.542414787939824,58.590371849336066,7.602806684039088,59.28602854135152,7.663329125820508,58.958333333333336,7.542414787939822,0.17916666666666664,0.1508482957587965
CP6,21,61.36904761904761,9.064911419733734,61.16376316238383,9.120182834058141,61.59516423219637,9.135913265427428,61.36904761904761,9.064911419733734,0.2273809523809524,0.18129822839467466
P4,21,60.238095238095234,7.165662997272213,59.625193924004286,7.672976396499806,60.59882587439813,7.312154298571338,60.238095238095234,7.165662997272213,0.20476190476190476,0.14331325994544425
F3,21,50.71428571428571,2.8455400567002593,48.96051120035746,3.944919750889327,50.741832752144944,3.3461639878735494,50.71428571428571,2.8455400567002584,0.0142857142857143,0.05691080113400516
FC1,21,51.81547619047618,5.589837185634726,50.40270070640991,6.15685317650876,52.00815198185629,6.598776639227137,51.81547619047618,5.589837185634726,0.036309523809523805,0.11179674371269455
FC3,21,50.17857142857143,4.614611885862434,49.46289735353179,4.490995566906783,50.44366706687514,5.04358316932133,50.17857142857143,4.614611885862435,0.003571428571428564,0.09229223771724869
FC5,21,55.02976190476191,4.119675495773446,53.88415829358527,5.520603807330369,55.6152315398165,4.286422626049998,55.02976190476191,4.119675495773447,0.10059523809523808,0.0823935099154689
CP1,21,53.75,4.126893504804794,52.107103863312986,5.165100368393911,54.33405350975,5.039507381924786,53.75,4.126893504804794,0.07500000000000001,0.0825378700960959
CP3,21,53.214285714285715,4.322387732988066,51.99864432626605,5.693904175160619,53.38297035172614,4.595380252202028,53.214285714285715,4.322387732988066,0.0642857142857143,0.0864477546597613
CP5,21,53.541666666666664,4.281744192888377,52.564781991491415,4.98893957993056,53.91861239818143,4.506784392181947,53.541666666666664,4.281744192888374,0.07083333333333335,0.0856348838577675
P3,21,56.875,5.455788210698798,56.11947246550666,6.088458360840837,57.18749770289777,5.761529969440056,56.875,5.455788210698798,0.1375,0.10911576421397597
