channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
CP1,B80,"{""C"": 0.1, ""gamma"": ""scale""}",0.5341837888876867,0.46875,0.4185797956478987,0.45227869243617275,0.46875,-0.0625
CP3,B80,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.5265613441439065,0.49375,0.49214310905599745,0.4936698844753917,0.49375,-0.012499999999999956
CP5,B80,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5513160305343512,0.5375,0.5328282828282829,0.5390625,0.5375,0.07499999999999996
P3,B80,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.5825179386823223,0.5125,0.5097423004399748,0.5127877237851662,0.5125,0.025000000000000022
Fz,B81,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.5594651067655323,0.51875,0.49156039783748096,0.5238521168753727,0.51875,0.03749999999999998
FCz,B81,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5675294532420601,0.50625,0.48143589743589743,0.5077294685990338,0.50625,0.012499999999999956
Cz,B81,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.5764373752988554,0.50625,0.4638388123011665,0.5091428571428571,0.50625,0.012499999999999956
CPz,B81,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5803526040093419,0.50625,0.4638388123011665,0.5091428571428571,0.50625,0.012499999999999956
Pz,B81,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.5858151455874416,0.525,0.4689028651292802,0.5432900432900433,0.525,0.050000000000000044
C1,B81,"{""C"": 0.20691380811147897, ""gamma"": ""scale""}",0.5562156367105664,0.46875,0.4273925308408067,0.4560536145902,0.46875,-0.0625
C3,B81,"{""C"": 16.23776739188721, ""gamma"": ""auto""}",0.5292726255317797,0.48125,0.47215708096506215,0.47986239301896294,0.48125,-0.03750000000000009
C5,B81,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5296312302985464,0.56875,0.535177466211949,0.5966820479015601,0.56875,0.13749999999999996
C2,B81,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.60625,0.56875,0.5384422425686692,0.5932400932400932,0.56875,0.13749999999999996
C4,B81,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6328116035439539,0.61875,0.5972101852998225,0.6510634068773604,0.61875,0.23750000000000004
C6,B81,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.6467059432736368,0.65,0.637246963562753,0.6745454545454546,0.65,0.30000000000000004
F4,B81,"{""C"": 0.42813323987193935, ""gamma"": ""auto""}",0.5942336926055847,0.61875,0.5995897435897436,0.6468599033816425,0.61875,0.23750000000000004
FC2,B81,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.6078115425086488,0.5625,0.5418098510882016,0.57627765064836,0.5625,0.125
FC4,B81,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.635680448363225,0.65,0.6354166666666667,0.6785714285714286,0.65,0.30000000000000004
FC6,B81,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.6656217345872518,0.68125,0.6704228765297467,0.7086706242129879,0.68125,0.36250000000000004
CP2,B81,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.5980832716334465,0.53125,0.5016404335728228,0.540992006558721,0.53125,0.0625
CP4,B81,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.6201557771639177,0.59375,0.5779049474410487,0.6103143960286816,0.59375,0.1875
CP6,B81,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.6264083569636887,0.64375,0.6375054652410668,0.654388320187951,0.64375,0.2875
P4,B81,"{""C"": 0.20691380811147897, ""gamma"": ""auto""}",0.6197322574729507,0.5875,0.5703125,0.6041666666666667,0.5875,0.17500000000000004
F3,B81,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.5345523394415121,0.5125,0.5031055900621118,0.5135226504394861,0.5125,0.025000000000000022
FC1,B81,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5524956970740103,0.46875,0.45070479421624454,0.4640223061701745,0.46875,-0.0625
FC3,B81,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.5172469711227792,0.50625,0.5046827853756025,0.5063301155246083,0.50625,0.012499999999999956
FC5,B81,"{""C"": 11.288378916846883, ""gamma"": ""auto""}",0.5756912997634303,0.575,0.5682539682539682,0.5800000000000001,0.575,0.15000000000000002
CP1,B81,"{""C"": 0.6158482110660264, ""gamma"": ""auto""}",0.5858151455874416,0.49375,0.44135523082891503,0.4899974993748437,0.49375,-0.012499999999999956
CP3,B81,"{""C"": 0.29763514416313175, ""gamma"": ""scale""}",0.5747445280716532,0.4875,0.44557133198106824,0.482078853046595,0.4875,-0.02499999999999991
CP5,B81,"{""C"": 1.2742749857031335, ""gamma"": ""auto""}",0.5741849634065204,0.50625,0.501871921182266,0.5064777327935223,0.50625,0.012499999999999956
P3,B81,"{""C"": 0.14384498882876628, ""gamma"": ""scale""}",0.6026427816984152,0.49375,0.4201601718043935,0.4873056172643605,0.49375,-0.012499999999999956
