protocol,family,variant,model,dataset,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,kappa_mean,kappa_std
strict_loso_gpu_svm_ablation,singlem_ablation,downstream_included,singlem,atten_dsr,26,0.8589743589743589,0.08531824118676076,0.856941629187414,0.08841662401119257,0.8686813714184534,0.07640367444688152,0.8589743589743589,0.08531824118676076,0.717948717948718,0.17063648237352153
strict_loso_gpu_svm_ablation,singlem_ablation,downstream_included,singlem,atten_nback,26,0.8436609686609686,0.09765167664979756,0.8370545972855238,0.11949543585238044,0.8503415608973455,0.09382822084639686,0.8436609686609686,0.09765167664979756,0.6873219373219374,0.19530335329959514
strict_loso_gpu_svm_ablation,singlem_ablation,downstream_included,singlem,atten_word,26,0.6961538461538462,0.08683415768101249,0.6923466711894275,0.08854060167900722,0.7047285090790396,0.08665167032521569,0.6961538461538462,0.08683415768101249,0.3923076923076923,0.17366831536202498
strict_loso_gpu_svm_ablation,singlem_ablation,downstream_included,singlem,dreyer,21,0.7452380952380953,0.08045050792997191,0.7439534964066687,0.08094337322062835,0.7495993162025724,0.0800317172918636,0.7452380952380953,0.08045050792997192,0.4904761904761905,0.16090101585994385
strict_loso_gpu_svm_ablation,singlem_ablation,downstream_included,singlem,wbcic_2c,51,0.7947812592373632,0.13301809585639057,0.7938532222569646,0.13377410160170036,0.7982836354541851,0.13300526264401613,0.794778173895821,0.13301586251069636,0.5895609753725404,0.26603508095489703
strict_loso_gpu_svm_ablation,singlem_ablation,downstream_included,singlem,wbcic_3c,11,0.6817158204114726,0.12459970318763876,0.6802199444291179,0.1254276242582453,0.6852311938941247,0.12384859633534714,0.6817355371900826,0.12459632455987968,0.5225693506929349,0.18690030968131383
strict_loso_gpu_svm_ablation,singlem_ablation,no_feature_embedding,singlem,atten_dsr,26,0.8552350427350427,0.08855606762390958,0.8520337794031286,0.09364120056932994,0.8707296726502357,0.0754179385507526,0.8552350427350427,0.08855606762390958,0.7104700854700854,0.17711213524781916
strict_loso_gpu_svm_ablation,singlem_ablation,no_feature_embedding,singlem,atten_nback,26,0.8365384615384616,0.09700389268886189,0.8304830540876105,0.11663236538602323,0.8425802596847629,0.09417473838112934,0.8365384615384616,0.09700389268886189,0.6730769230769231,0.19400778537772378
strict_loso_gpu_svm_ablation,singlem_ablation,no_feature_embedding,singlem,atten_word,26,0.6955128205128205,0.08492580975412105,0.6899262760352605,0.08837122533132243,0.7076346726772448,0.08457744193078322,0.6955128205128205,0.08492580975412106,0.391025641025641,0.1698516195082421
strict_loso_gpu_svm_ablation,singlem_ablation,no_feature_embedding,singlem,dreyer,21,0.7193452380952381,0.08514474720257544,0.7176161977945014,0.08589719202546979,0.7239307408142909,0.08469052807892108,0.7193452380952381,0.08514474720257542,0.4386904761904762,0.17028949440515084
strict_loso_gpu_svm_ablation,singlem_ablation,no_feature_embedding,singlem,wbcic_2c,51,0.7821337077544586,0.13811057523857803,0.7811413276570125,0.13875705819228512,0.785789968161097,0.13814766542489582,0.7821291344820755,0.13810719800302154,0.5642650810621228,0.27621942708682573
strict_loso_gpu_svm_ablation,singlem_ablation,no_feature_embedding,singlem,wbcic_3c,11,0.6607976081889125,0.1257439718715633,0.6593132988191535,0.12659900756964104,0.6660130366306258,0.12500745274065325,0.6608233853688399,0.1257375311270437,0.4911975345549722,0.188615676172375
