evaluation_setting,manuscript_table,dataset,published_dataset,task,primary,baseline,baseline_family,baseline_model,selected_method,primary_published_mean_abs_error_percent,baseline_published_mean_abs_error_percent,n_subjects,primary_mean_accuracy,primary_sd_accuracy,baseline_mean_accuracy,baseline_sd_accuracy,mean_difference,sd_difference,median_difference,q1_difference,q3_difference,min_difference,max_difference,n_exact_zero_before_rounding,n_created_zero_by_rounding,n_zero,n_positive,n_negative,n_nonzero,n_unique_abs_nonzero,n_tied_abs_groups,n_nonzero_in_tied_abs_groups,largest_abs_tie_group,positive_rank_sum,negative_rank_sum,wilcoxon_statistic,z_statistic,p_value_raw,p_value_method,rank_biserial_effect,cohen_dz,common_language_singlem_win_rate_excluding_zeros,holm_rank,holm_multiplier,p_value_holm,holm_family_size,significant_holm_0_05,direction
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,BENDR,foundation,bendr,one_row_per_subject,0.0016844025539626273,0.0035978514239403125,11,0.6814168440255396,0.12951948245477046,0.3549640214857606,0.027620707802051565,0.32645282253981817,0.12054116429813674,0.336666666667,0.2971571906355,0.39666666666649997,0.07,0.51,0,0,0,11,0,11,11,0,0,1,66.0,0.0,0.0,nan,0.0009765625,exact,1.0,2.7082268902961335,1.0,1,10,0.009765625,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,BIOT,foundation,biot,one_row_per_subject,0.0016844025539626273,0.0007753116448796504,11,0.6814168440255396,0.12951948245477046,0.35949224688355125,0.043572581670217096,0.321924597142,0.15098483131152704,0.351170568562,0.281666666667,0.39666666666649997,-0.04,0.513333333333,0,0,0,10,1,11,11,0,0,1,65.0,1.0,1.0,nan,0.001953125,exact,0.9696969696969697,2.1321651608681993,0.9090909090909091,5,6,0.01171875,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,LaBraM,foundation,labram,one_row_per_subject,0.0016844025539626273,0.0002401945880308176,11,0.6814168440255396,0.12951948245477046,0.3989024019458803,0.058153620162527835,0.2825144420796364,0.10780025765098912,0.32,0.2416666666665,0.34833333333350003,0.03,0.386666666667,0,0,0,11,0,11,11,0,0,1,66.0,0.0,0.0,nan,0.0009765625,exact,1.0,2.6207213993337257,1.0,2,9,0.009765625,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,CBraMod,foundation,cbramod,one_row_per_subject,0.0016844025539626273,0.00016215668389918392,11,0.6814168440255396,0.12951948245477046,0.602001621566839,0.10759807272320335,0.07941522245863637,0.07660319824350213,0.070234113712,0.0166666666665,0.14500000000000002,-0.02,0.19,0,0,0,9,2,11,11,0,0,1,61.0,5.0,5.0,nan,0.009765625,exact,0.8484848484848485,1.036708966200021,0.8181818181818182,8,3,0.029296875,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,CodeBrain,foundation,codebrain,one_row_per_subject,0.0016844025539626273,5.168744299766104e-05,11,0.6814168440255396,0.12951948245477046,0.5152994831255701,0.09537410919783151,0.16611736090000004,0.0629813363015161,0.1872909699,0.13,0.21000000000000002,0.04,0.23,0,0,0,11,0,11,11,0,0,1,66.0,0.0,0.0,nan,0.0009765625,exact,1.0,2.6375648827889546,1.0,3,8,0.009765625,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,CSBrain,foundation,csbrain,one_row_per_subject,0.0016844025539626273,0.0023664741056137473,11,0.6814168440255396,0.12951948245477046,0.6304763352589439,0.13805197822152862,0.05094050876663636,0.06740798472244108,0.053333333333,0.013333333333500001,0.08499999999999999,-0.05,0.186666666667,0,0,0,9,2,11,10,1,2,2,57.5,8.5,8.5,nan,0.025390625,exhaustive_permutation,0.7424242424242424,0.7557043720619872,0.8181818181818182,10,1,0.048828125,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,LUNA,foundation,luna_large,one_row_per_subject,0.0016844025539626273,0.003491436100141243,11,0.6814168440255396,0.12951948245477046,0.4534650856389986,0.06297225543866414,0.22795175838654547,0.08177441505073381,0.240802675585,0.195,0.28500000000000003,0.046666666667,0.316666666667,0,0,0,11,0,11,10,1,2,2,66.0,0.0,0.0,nan,0.0009765625,exhaustive_permutation,1.0,2.7875681928769716,1.0,4,7,0.009765625,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,MIRepNet,foundation,mirepnet,one_row_per_subject,0.0016844025539626273,0.004787676092028903,11,0.6814168440255396,0.12951948245477046,0.4828478767609203,0.12637347398836363,0.19856896726454545,0.20398207685962005,0.253333333333,0.1216666666665,0.29712931995549996,-0.306666666667,0.473333333333,0,0,0,10,1,11,11,0,0,1,58.0,8.0,8.0,nan,0.0244140625,exact,0.7575757575757576,0.9734628175258756,0.9090909090909091,9,2,0.048828125,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,CSP,classical,csp,one_row_per_subject,0.0016844025539626273,0.001884057971018649,11,0.6814168440255396,0.12951948245477046,0.3476811594202899,0.022805995298387984,0.3337356846054546,0.14117615521688434,0.346666666667,0.296666666667,0.4133333333335,-0.01,0.536666666667,0,0,0,10,1,11,10,1,2,2,65.0,1.0,1.0,nan,0.001953125,exhaustive_permutation,0.9696969696969697,2.3639663801068056,0.9090909090909091,6,5,0.01171875,10,True,singlem_higher
strict_svm,Tables II-III,wbcic_3c,WBCIC-MI-3C,motor_imagery,SingLEM,Welch PSD,classical,welch_psd,one_row_per_subject,0.0016844025539626273,0.0030961791831387586,11,0.6814168440255396,0.12951948245477046,0.37646903820816857,0.05506381597730257,0.3049478058173637,0.16608938556840636,0.327759197324,0.2583333333335,0.3716666666665,-0.113333333333,0.53,0,0,0,10,1,11,9,2,4,2,65.0,1.0,1.0,nan,0.001953125,exhaustive_permutation,0.9696969696969697,1.8360463239342075,0.9090909090909091,7,4,0.01171875,10,True,singlem_higher
