evaluation_setting,manuscript_table,dataset,subject,primary,baseline,primary_accuracy,baseline_accuracy,difference_primary_minus_baseline,calibration_trial_ids_sha256,test_trial_ids_sha256
strict_svm,Tables II-III,wbcic_2c,sub-032,SingLEM,MIRepNet,0.6,0.645,-0.045,,
strict_svm,Tables II-III,wbcic_2c,sub-033,SingLEM,MIRepNet,0.925,0.81,0.115,,
strict_svm,Tables II-III,wbcic_2c,sub-034,SingLEM,MIRepNet,0.64,0.57,0.07,,
strict_svm,Tables II-III,wbcic_2c,sub-035,SingLEM,MIRepNet,0.975,0.525,0.45,,
strict_svm,Tables II-III,wbcic_2c,sub-036,SingLEM,MIRepNet,0.91,0.625,0.285,,
strict_svm,Tables II-III,wbcic_2c,sub-037,SingLEM,MIRepNet,0.915,0.59,0.325,,
strict_svm,Tables II-III,wbcic_2c,sub-038,SingLEM,MIRepNet,0.555,0.53,0.025,,
strict_svm,Tables II-III,wbcic_2c,sub-039,SingLEM,MIRepNet,0.55,0.79,-0.24,,
strict_svm,Tables II-III,wbcic_2c,sub-040,SingLEM,MIRepNet,0.825,0.66,0.165,,
strict_svm,Tables II-III,wbcic_2c,sub-041,SingLEM,MIRepNet,0.915,0.685,0.23,,
strict_svm,Tables II-III,wbcic_2c,sub-042,SingLEM,MIRepNet,0.815,0.53,0.285,,
strict_svm,Tables II-III,wbcic_2c,sub-043,SingLEM,MIRepNet,0.97,0.585,0.385,,
strict_svm,Tables II-III,wbcic_2c,sub-044,SingLEM,MIRepNet,0.69,0.585,0.105,,
strict_svm,Tables II-III,wbcic_2c,sub-045,SingLEM,MIRepNet,0.795,0.495,0.3,,
strict_svm,Tables II-III,wbcic_2c,sub-046,SingLEM,MIRepNet,0.98,0.65,0.33,,
strict_svm,Tables II-III,wbcic_2c,sub-047,SingLEM,MIRepNet,0.795,0.535,0.26,,
strict_svm,Tables II-III,wbcic_2c,sub-048,SingLEM,MIRepNet,0.84,0.62,0.22,,
strict_svm,Tables II-III,wbcic_2c,sub-049,SingLEM,MIRepNet,0.85,0.6,0.25,,
strict_svm,Tables II-III,wbcic_2c,sub-050,SingLEM,MIRepNet,0.86,0.58,0.28,,
strict_svm,Tables II-III,wbcic_2c,sub-051,SingLEM,MIRepNet,0.79,0.57,0.22,,
strict_svm,Tables II-III,wbcic_2c,sub-001,SingLEM,CSP,0.88,0.46,0.42,,
strict_svm,Tables II-III,wbcic_2c,sub-002,SingLEM,CSP,0.72,0.48,0.24,,
strict_svm,Tables II-III,wbcic_2c,sub-003,SingLEM,CSP,0.925,0.505,0.42,,
strict_svm,Tables II-III,wbcic_2c,sub-004,SingLEM,CSP,0.54,0.49,0.05,,
strict_svm,Tables II-III,wbcic_2c,sub-005,SingLEM,CSP,0.905,0.485,0.42,,
strict_svm,Tables II-III,wbcic_2c,sub-006,SingLEM,CSP,0.86,0.475,0.385,,
strict_svm,Tables II-III,wbcic_2c,sub-007,SingLEM,CSP,0.71,0.5,0.21,,
strict_svm,Tables II-III,wbcic_2c,sub-008,SingLEM,CSP,0.9,0.485,0.415,,
strict_svm,Tables II-III,wbcic_2c,sub-009,SingLEM,CSP,0.79,0.5,0.29,,
strict_svm,Tables II-III,wbcic_2c,sub-010,SingLEM,CSP,0.81,0.475,0.335,,
strict_svm,Tables II-III,wbcic_2c,sub-011,SingLEM,CSP,0.9,0.575,0.325,,
strict_svm,Tables II-III,wbcic_2c,sub-012,SingLEM,CSP,0.525,0.51,0.015,,
strict_svm,Tables II-III,wbcic_2c,sub-013,SingLEM,CSP,0.87,0.505,0.365,,
strict_svm,Tables II-III,wbcic_2c,sub-014,SingLEM,CSP,0.55,0.515,0.035,,
strict_svm,Tables II-III,wbcic_2c,sub-015,SingLEM,CSP,0.825,0.48,0.345,,
strict_svm,Tables II-III,wbcic_2c,sub-016,SingLEM,CSP,0.665,0.47,0.195,,
strict_svm,Tables II-III,wbcic_2c,sub-017,SingLEM,CSP,0.775,0.5,0.275,,
strict_svm,Tables II-III,wbcic_2c,sub-018,SingLEM,CSP,0.64,0.54,0.1,,
strict_svm,Tables II-III,wbcic_2c,sub-019,SingLEM,CSP,0.755,0.53,0.225,,
strict_svm,Tables II-III,wbcic_2c,sub-020,SingLEM,CSP,0.915,0.505,0.41,,
strict_svm,Tables II-III,wbcic_2c,sub-021,SingLEM,CSP,0.91,0.47,0.44,,
strict_svm,Tables II-III,wbcic_2c,sub-022,SingLEM,CSP,0.705,0.52,0.185,,
strict_svm,Tables II-III,wbcic_2c,sub-023,SingLEM,CSP,0.8994974874371859,0.49748743718592964,0.402010050251,,
strict_svm,Tables II-III,wbcic_2c,sub-024,SingLEM,CSP,0.965,0.505,0.46,,
strict_svm,Tables II-III,wbcic_2c,sub-025,SingLEM,CSP,0.925,0.515,0.41,,
strict_svm,Tables II-III,wbcic_2c,sub-026,SingLEM,CSP,0.8844221105527639,0.41708542713567837,0.467336683417,,
strict_svm,Tables II-III,wbcic_2c,sub-027,SingLEM,CSP,0.685,0.495,0.19,,
strict_svm,Tables II-III,wbcic_2c,sub-028,SingLEM,CSP,0.82,0.535,0.285,,
strict_svm,Tables II-III,wbcic_2c,sub-029,SingLEM,CSP,0.48,0.49,-0.01,,
strict_svm,Tables II-III,wbcic_2c,sub-030,SingLEM,CSP,0.84,0.325,0.515,,
strict_svm,Tables II-III,wbcic_2c,sub-031,SingLEM,CSP,0.87,0.505,0.365,,
strict_svm,Tables II-III,wbcic_2c,sub-032,SingLEM,CSP,0.6,0.525,0.075,,
strict_svm,Tables II-III,wbcic_2c,sub-033,SingLEM,CSP,0.925,0.515,0.41,,
strict_svm,Tables II-III,wbcic_2c,sub-034,SingLEM,CSP,0.64,0.495,0.145,,
strict_svm,Tables II-III,wbcic_2c,sub-035,SingLEM,CSP,0.975,0.49,0.485,,
strict_svm,Tables II-III,wbcic_2c,sub-036,SingLEM,CSP,0.91,0.495,0.415,,
strict_svm,Tables II-III,wbcic_2c,sub-037,SingLEM,CSP,0.915,0.45,0.465,,
strict_svm,Tables II-III,wbcic_2c,sub-038,SingLEM,CSP,0.555,0.515,0.04,,
strict_svm,Tables II-III,wbcic_2c,sub-039,SingLEM,CSP,0.55,0.555,-0.005,,
strict_svm,Tables II-III,wbcic_2c,sub-040,SingLEM,CSP,0.825,0.54,0.285,,
strict_svm,Tables II-III,wbcic_2c,sub-041,SingLEM,CSP,0.915,0.485,0.43,,
strict_svm,Tables II-III,wbcic_2c,sub-042,SingLEM,CSP,0.815,0.5,0.315,,
strict_svm,Tables II-III,wbcic_2c,sub-043,SingLEM,CSP,0.97,0.53,0.44,,
strict_svm,Tables II-III,wbcic_2c,sub-044,SingLEM,CSP,0.69,0.48,0.21,,
strict_svm,Tables II-III,wbcic_2c,sub-045,SingLEM,CSP,0.795,0.505,0.29,,
strict_svm,Tables II-III,wbcic_2c,sub-046,SingLEM,CSP,0.98,0.495,0.485,,
strict_svm,Tables II-III,wbcic_2c,sub-047,SingLEM,CSP,0.795,0.54,0.255,,
strict_svm,Tables II-III,wbcic_2c,sub-048,SingLEM,CSP,0.84,0.525,0.315,,
strict_svm,Tables II-III,wbcic_2c,sub-049,SingLEM,CSP,0.85,0.475,0.375,,
strict_svm,Tables II-III,wbcic_2c,sub-050,SingLEM,CSP,0.86,0.475,0.385,,
strict_svm,Tables II-III,wbcic_2c,sub-051,SingLEM,CSP,0.79,0.5,0.29,,
strict_svm,Tables II-III,wbcic_2c,sub-001,SingLEM,Welch PSD,0.88,0.535,0.345,,
strict_svm,Tables II-III,wbcic_2c,sub-002,SingLEM,Welch PSD,0.72,0.5,0.22,,
strict_svm,Tables II-III,wbcic_2c,sub-003,SingLEM,Welch PSD,0.925,0.56,0.365,,
strict_svm,Tables II-III,wbcic_2c,sub-004,SingLEM,Welch PSD,0.54,0.525,0.015,,
strict_svm,Tables II-III,wbcic_2c,sub-005,SingLEM,Welch PSD,0.905,0.59,0.315,,
strict_svm,Tables II-III,wbcic_2c,sub-006,SingLEM,Welch PSD,0.86,0.68,0.18,,
strict_svm,Tables II-III,wbcic_2c,sub-007,SingLEM,Welch PSD,0.71,0.45,0.26,,
strict_svm,Tables II-III,wbcic_2c,sub-008,SingLEM,Welch PSD,0.9,0.525,0.375,,
strict_svm,Tables II-III,wbcic_2c,sub-009,SingLEM,Welch PSD,0.79,0.505,0.285,,
strict_svm,Tables II-III,wbcic_2c,sub-010,SingLEM,Welch PSD,0.81,0.525,0.285,,
strict_svm,Tables II-III,wbcic_2c,sub-011,SingLEM,Welch PSD,0.9,0.575,0.325,,
strict_svm,Tables II-III,wbcic_2c,sub-012,SingLEM,Welch PSD,0.525,0.555,-0.03,,
strict_svm,Tables II-III,wbcic_2c,sub-013,SingLEM,Welch PSD,0.87,0.51,0.36,,
strict_svm,Tables II-III,wbcic_2c,sub-014,SingLEM,Welch PSD,0.55,0.5,0.05,,
strict_svm,Tables II-III,wbcic_2c,sub-015,SingLEM,Welch PSD,0.825,0.5,0.325,,
strict_svm,Tables II-III,wbcic_2c,sub-016,SingLEM,Welch PSD,0.665,0.445,0.22,,
strict_svm,Tables II-III,wbcic_2c,sub-017,SingLEM,Welch PSD,0.775,0.5,0.275,,
strict_svm,Tables II-III,wbcic_2c,sub-018,SingLEM,Welch PSD,0.64,0.505,0.135,,
strict_svm,Tables II-III,wbcic_2c,sub-019,SingLEM,Welch PSD,0.755,0.505,0.25,,
strict_svm,Tables II-III,wbcic_2c,sub-020,SingLEM,Welch PSD,0.915,0.515,0.4,,
strict_svm,Tables II-III,wbcic_2c,sub-021,SingLEM,Welch PSD,0.91,0.64,0.27,,
strict_svm,Tables II-III,wbcic_2c,sub-022,SingLEM,Welch PSD,0.705,0.55,0.155,,
strict_svm,Tables II-III,wbcic_2c,sub-023,SingLEM,Welch PSD,0.8994974874371859,0.5175879396984925,0.381909547739,,
strict_svm,Tables II-III,wbcic_2c,sub-024,SingLEM,Welch PSD,0.965,0.49,0.475,,
strict_svm,Tables II-III,wbcic_2c,sub-025,SingLEM,Welch PSD,0.925,0.52,0.405,,
strict_svm,Tables II-III,wbcic_2c,sub-026,SingLEM,Welch PSD,0.8844221105527639,0.5477386934673367,0.336683417085,,
strict_svm,Tables II-III,wbcic_2c,sub-027,SingLEM,Welch PSD,0.685,0.475,0.21,,
strict_svm,Tables II-III,wbcic_2c,sub-028,SingLEM,Welch PSD,0.82,0.66,0.16,,
strict_svm,Tables II-III,wbcic_2c,sub-029,SingLEM,Welch PSD,0.48,0.57,-0.09,,
strict_svm,Tables II-III,wbcic_2c,sub-030,SingLEM,Welch PSD,0.84,0.56,0.28,,
strict_svm,Tables II-III,wbcic_2c,sub-031,SingLEM,Welch PSD,0.87,0.525,0.345,,
strict_svm,Tables II-III,wbcic_2c,sub-032,SingLEM,Welch PSD,0.6,0.63,-0.03,,
strict_svm,Tables II-III,wbcic_2c,sub-033,SingLEM,Welch PSD,0.925,0.595,0.33,,
strict_svm,Tables II-III,wbcic_2c,sub-034,SingLEM,Welch PSD,0.64,0.525,0.115,,
strict_svm,Tables II-III,wbcic_2c,sub-035,SingLEM,Welch PSD,0.975,0.51,0.465,,
strict_svm,Tables II-III,wbcic_2c,sub-036,SingLEM,Welch PSD,0.91,0.535,0.375,,
strict_svm,Tables II-III,wbcic_2c,sub-037,SingLEM,Welch PSD,0.915,0.575,0.34,,
strict_svm,Tables II-III,wbcic_2c,sub-038,SingLEM,Welch PSD,0.555,0.505,0.05,,
strict_svm,Tables II-III,wbcic_2c,sub-039,SingLEM,Welch PSD,0.55,0.565,-0.015,,
strict_svm,Tables II-III,wbcic_2c,sub-040,SingLEM,Welch PSD,0.825,0.53,0.295,,
strict_svm,Tables II-III,wbcic_2c,sub-041,SingLEM,Welch PSD,0.915,0.57,0.345,,
strict_svm,Tables II-III,wbcic_2c,sub-042,SingLEM,Welch PSD,0.815,0.59,0.225,,
strict_svm,Tables II-III,wbcic_2c,sub-043,SingLEM,Welch PSD,0.97,0.54,0.43,,
strict_svm,Tables II-III,wbcic_2c,sub-044,SingLEM,Welch PSD,0.69,0.555,0.135,,
strict_svm,Tables II-III,wbcic_2c,sub-045,SingLEM,Welch PSD,0.795,0.585,0.21,,
strict_svm,Tables II-III,wbcic_2c,sub-046,SingLEM,Welch PSD,0.98,0.57,0.41,,
strict_svm,Tables II-III,wbcic_2c,sub-047,SingLEM,Welch PSD,0.795,0.525,0.27,,
strict_svm,Tables II-III,wbcic_2c,sub-048,SingLEM,Welch PSD,0.84,0.515,0.325,,
strict_svm,Tables II-III,wbcic_2c,sub-049,SingLEM,Welch PSD,0.85,0.66,0.19,,
strict_svm,Tables II-III,wbcic_2c,sub-050,SingLEM,Welch PSD,0.86,0.575,0.285,,
strict_svm,Tables II-III,wbcic_2c,sub-051,SingLEM,Welch PSD,0.79,0.5,0.29,,
strict_svm,Tables II-III,atten_nback,VP001,SingLEM,BENDR,0.7129629629629629,0.5648148148148148,0.148148148148,,
strict_svm,Tables II-III,atten_nback,VP002,SingLEM,BENDR,0.8240740740740741,0.6018518518518519,0.222222222222,,
strict_svm,Tables II-III,atten_nback,VP003,SingLEM,BENDR,0.8981481481481481,0.6481481481481481,0.25,,
strict_svm,Tables II-III,atten_nback,VP004,SingLEM,BENDR,0.5,0.5555555555555556,-0.055555555556,,
strict_svm,Tables II-III,atten_nback,VP005,SingLEM,BENDR,0.8425925925925926,0.6574074074074074,0.185185185185,,
strict_svm,Tables II-III,atten_nback,VP006,SingLEM,BENDR,0.8703703703703703,0.6111111111111112,0.259259259259,,
strict_svm,Tables II-III,atten_nback,VP007,SingLEM,BENDR,0.9166666666666666,0.5555555555555556,0.361111111111,,
strict_svm,Tables II-III,atten_nback,VP008,SingLEM,BENDR,0.9629629629629629,0.6759259259259259,0.287037037037,,
strict_svm,Tables II-III,atten_nback,VP009,SingLEM,BENDR,0.8981481481481481,0.7870370370370371,0.111111111111,,
strict_svm,Tables II-III,atten_nback,VP010,SingLEM,BENDR,0.7777777777777778,0.6018518518518519,0.175925925926,,
strict_svm,Tables II-III,atten_nback,VP011,SingLEM,BENDR,0.7407407407407407,0.5370370370370371,0.203703703704,,
strict_svm,Tables II-III,atten_nback,VP012,SingLEM,BENDR,0.9444444444444444,0.6574074074074074,0.287037037037,,
strict_svm,Tables II-III,atten_nback,VP013,SingLEM,BENDR,0.8518518518518519,0.5740740740740741,0.277777777778,,
strict_svm,Tables II-III,atten_nback,VP014,SingLEM,BENDR,0.8888888888888888,0.7037037037037037,0.185185185185,,
strict_svm,Tables II-III,atten_nback,VP015,SingLEM,BENDR,0.8240740740740741,0.6481481481481481,0.175925925926,,
strict_svm,Tables II-III,atten_nback,VP016,SingLEM,BENDR,0.8333333333333334,0.6111111111111112,0.222222222222,,
strict_svm,Tables II-III,atten_nback,VP017,SingLEM,BENDR,0.8796296296296297,0.5925925925925926,0.287037037037,,
strict_svm,Tables II-III,atten_nback,VP018,SingLEM,BENDR,0.8333333333333334,0.6296296296296297,0.203703703704,,
strict_svm,Tables II-III,atten_nback,VP019,SingLEM,BENDR,0.8703703703703703,0.6296296296296297,0.240740740741,,
strict_svm,Tables II-III,atten_nback,VP020,SingLEM,BENDR,0.8888888888888888,0.6388888888888888,0.25,,
strict_svm,Tables II-III,atten_nback,VP021,SingLEM,BENDR,0.8240740740740741,0.6759259259259259,0.148148148148,,
strict_svm,Tables II-III,atten_nback,VP022,SingLEM,BENDR,0.8888888888888888,0.6574074074074074,0.231481481481,,
strict_svm,Tables II-III,atten_nback,VP023,SingLEM,BENDR,0.8796296296296297,0.6111111111111112,0.268518518519,,
strict_svm,Tables II-III,atten_nback,VP024,SingLEM,BENDR,0.7407407407407407,0.5555555555555556,0.185185185185,,
strict_svm,Tables II-III,atten_nback,VP025,SingLEM,BENDR,0.9444444444444444,0.7129629629629629,0.231481481481,,
strict_svm,Tables II-III,atten_nback,VP026,SingLEM,BENDR,0.8425925925925926,0.6203703703703703,0.222222222222,,
strict_svm,Tables II-III,atten_nback,VP001,SingLEM,BIOT,0.7129629629629629,0.6574074074074074,0.055555555556,,
strict_svm,Tables II-III,atten_nback,VP002,SingLEM,BIOT,0.8240740740740741,0.6944444444444444,0.12962962963,,
strict_svm,Tables II-III,atten_nback,VP003,SingLEM,BIOT,0.8981481481481481,0.7037037037037037,0.194444444444,,
strict_svm,Tables II-III,atten_nback,VP004,SingLEM,BIOT,0.5,0.48148148148148145,0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP005,SingLEM,BIOT,0.8425925925925926,0.7777777777777778,0.064814814815,,
strict_svm,Tables II-III,atten_nback,VP006,SingLEM,BIOT,0.8703703703703703,0.5833333333333334,0.287037037037,,
strict_svm,Tables II-III,atten_nback,VP007,SingLEM,BIOT,0.9166666666666666,0.5092592592592593,0.407407407407,,
strict_svm,Tables II-III,atten_nback,VP008,SingLEM,BIOT,0.9629629629629629,0.6851851851851852,0.277777777778,,
strict_svm,Tables II-III,atten_nback,VP009,SingLEM,BIOT,0.8981481481481481,0.7777777777777778,0.12037037037,,
strict_svm,Tables II-III,atten_nback,VP010,SingLEM,BIOT,0.7777777777777778,0.4537037037037037,0.324074074074,,
strict_svm,Tables II-III,atten_nback,VP011,SingLEM,BIOT,0.7407407407407407,0.5,0.240740740741,,
strict_svm,Tables II-III,atten_nback,VP012,SingLEM,BIOT,0.9444444444444444,0.5092592592592593,0.435185185185,,
strict_svm,Tables II-III,atten_nback,VP013,SingLEM,BIOT,0.8518518518518519,0.6296296296296297,0.222222222222,,
strict_svm,Tables II-III,atten_nback,VP014,SingLEM,BIOT,0.8888888888888888,0.6666666666666666,0.222222222222,,
strict_svm,Tables II-III,atten_nback,VP015,SingLEM,BIOT,0.8240740740740741,0.4722222222222222,0.351851851852,,
strict_svm,Tables II-III,atten_nback,VP016,SingLEM,BIOT,0.8333333333333334,0.6944444444444444,0.138888888889,,
strict_svm,Tables II-III,atten_nback,VP017,SingLEM,BIOT,0.8796296296296297,0.5277777777777778,0.351851851852,,
strict_svm,Tables II-III,atten_nback,VP018,SingLEM,BIOT,0.8333333333333334,0.4537037037037037,0.37962962963,,
strict_svm,Tables II-III,atten_nback,VP019,SingLEM,BIOT,0.8703703703703703,0.6018518518518519,0.268518518519,,
strict_svm,Tables II-III,atten_nback,VP020,SingLEM,BIOT,0.8888888888888888,0.5462962962962963,0.342592592593,,
strict_svm,Tables II-III,atten_nback,VP021,SingLEM,BIOT,0.8240740740740741,0.5740740740740741,0.25,,
strict_svm,Tables II-III,atten_nback,VP022,SingLEM,BIOT,0.8888888888888888,0.6018518518518519,0.287037037037,,
strict_svm,Tables II-III,atten_nback,VP023,SingLEM,BIOT,0.8796296296296297,0.7222222222222222,0.157407407407,,
strict_svm,Tables II-III,atten_nback,VP024,SingLEM,BIOT,0.7407407407407407,0.5740740740740741,0.166666666667,,
strict_svm,Tables II-III,atten_nback,VP025,SingLEM,BIOT,0.9444444444444444,0.6666666666666666,0.277777777778,,
strict_svm,Tables II-III,atten_nback,VP026,SingLEM,BIOT,0.8425925925925926,0.6574074074074074,0.185185185185,,
strict_svm,Tables II-III,atten_nback,VP001,SingLEM,LaBraM,0.7129629629629629,0.5925925925925926,0.12037037037,,
strict_svm,Tables II-III,atten_nback,VP002,SingLEM,LaBraM,0.8240740740740741,0.7592592592592593,0.064814814815,,
strict_svm,Tables II-III,atten_nback,VP003,SingLEM,LaBraM,0.8981481481481481,0.6944444444444444,0.203703703704,,
strict_svm,Tables II-III,atten_nback,VP004,SingLEM,LaBraM,0.5,0.46296296296296297,0.037037037037,,
strict_svm,Tables II-III,atten_nback,VP005,SingLEM,LaBraM,0.8425925925925926,0.6574074074074074,0.185185185185,,
strict_svm,Tables II-III,atten_nback,VP006,SingLEM,LaBraM,0.8703703703703703,0.6666666666666666,0.203703703704,,
strict_svm,Tables II-III,atten_nback,VP007,SingLEM,LaBraM,0.9166666666666666,0.5740740740740741,0.342592592593,,
strict_svm,Tables II-III,atten_nback,VP008,SingLEM,LaBraM,0.9629629629629629,0.6759259259259259,0.287037037037,,
strict_svm,Tables II-III,atten_nback,VP009,SingLEM,LaBraM,0.8981481481481481,0.7962962962962963,0.101851851852,,
strict_svm,Tables II-III,atten_nback,VP010,SingLEM,LaBraM,0.7777777777777778,0.5833333333333334,0.194444444444,,
strict_svm,Tables II-III,atten_nback,VP011,SingLEM,LaBraM,0.7407407407407407,0.5092592592592593,0.231481481481,,
strict_svm,Tables II-III,atten_nback,VP012,SingLEM,LaBraM,0.9444444444444444,0.4722222222222222,0.472222222222,,
strict_svm,Tables II-III,atten_nback,VP013,SingLEM,LaBraM,0.8518518518518519,0.6574074074074074,0.194444444444,,
strict_svm,Tables II-III,atten_nback,VP014,SingLEM,LaBraM,0.8888888888888888,0.6574074074074074,0.231481481481,,
strict_svm,Tables II-III,atten_nback,VP015,SingLEM,LaBraM,0.8240740740740741,0.6388888888888888,0.185185185185,,
strict_svm,Tables II-III,atten_nback,VP016,SingLEM,LaBraM,0.8333333333333334,0.46296296296296297,0.37037037037,,
strict_svm,Tables II-III,atten_nback,VP017,SingLEM,LaBraM,0.8796296296296297,0.7222222222222222,0.157407407407,,
strict_svm,Tables II-III,atten_nback,VP018,SingLEM,LaBraM,0.8333333333333334,0.6111111111111112,0.222222222222,,
strict_svm,Tables II-III,atten_nback,VP019,SingLEM,LaBraM,0.8703703703703703,0.6111111111111112,0.259259259259,,
strict_svm,Tables II-III,atten_nback,VP020,SingLEM,LaBraM,0.8888888888888888,0.6388888888888888,0.25,,
strict_svm,Tables II-III,atten_nback,VP021,SingLEM,LaBraM,0.8240740740740741,0.6481481481481481,0.175925925926,,
strict_svm,Tables II-III,atten_nback,VP022,SingLEM,LaBraM,0.8888888888888888,0.6481481481481481,0.240740740741,,
strict_svm,Tables II-III,atten_nback,VP023,SingLEM,LaBraM,0.8796296296296297,0.6481481481481481,0.231481481481,,
strict_svm,Tables II-III,atten_nback,VP024,SingLEM,LaBraM,0.7407407407407407,0.5185185185185185,0.222222222222,,
strict_svm,Tables II-III,atten_nback,VP025,SingLEM,LaBraM,0.9444444444444444,0.6203703703703703,0.324074074074,,
strict_svm,Tables II-III,atten_nback,VP026,SingLEM,LaBraM,0.8425925925925926,0.6574074074074074,0.185185185185,,
strict_svm,Tables II-III,atten_nback,VP001,SingLEM,CBraMod,0.7129629629629629,0.7037037037037037,0.009259259259,,
strict_svm,Tables II-III,atten_nback,VP002,SingLEM,CBraMod,0.8240740740740741,0.8240740740740741,0.0,,
strict_svm,Tables II-III,atten_nback,VP003,SingLEM,CBraMod,0.8981481481481481,0.9166666666666666,-0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP004,SingLEM,CBraMod,0.5,0.5,0.0,,
strict_svm,Tables II-III,atten_nback,VP005,SingLEM,CBraMod,0.8425925925925926,0.8148148148148148,0.027777777778,,
strict_svm,Tables II-III,atten_nback,VP006,SingLEM,CBraMod,0.8703703703703703,0.8425925925925926,0.027777777778,,
strict_svm,Tables II-III,atten_nback,VP007,SingLEM,CBraMod,0.9166666666666666,0.8148148148148148,0.101851851852,,
strict_svm,Tables II-III,atten_nback,VP008,SingLEM,CBraMod,0.9629629629629629,0.9444444444444444,0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP009,SingLEM,CBraMod,0.8981481481481481,0.8611111111111112,0.037037037037,,
strict_svm,Tables II-III,atten_nback,VP010,SingLEM,CBraMod,0.7777777777777778,0.7222222222222222,0.055555555556,,
strict_svm,Tables II-III,atten_nback,VP011,SingLEM,CBraMod,0.7407407407407407,0.6296296296296297,0.111111111111,,
strict_svm,Tables II-III,atten_nback,VP012,SingLEM,CBraMod,0.9444444444444444,0.6944444444444444,0.25,,
strict_svm,Tables II-III,atten_nback,VP013,SingLEM,CBraMod,0.8518518518518519,0.8888888888888888,-0.037037037037,,
strict_svm,Tables II-III,atten_nback,VP014,SingLEM,CBraMod,0.8888888888888888,0.8240740740740741,0.064814814815,,
strict_svm,Tables II-III,atten_nback,VP015,SingLEM,CBraMod,0.8240740740740741,0.7407407407407407,0.083333333333,,
strict_svm,Tables II-III,atten_nback,VP016,SingLEM,CBraMod,0.8333333333333334,0.75,0.083333333333,,
strict_svm,Tables II-III,atten_nback,VP017,SingLEM,CBraMod,0.8796296296296297,0.8055555555555556,0.074074074074,,
strict_svm,Tables II-III,atten_nback,VP018,SingLEM,CBraMod,0.8333333333333334,0.7407407407407407,0.092592592593,,
strict_svm,Tables II-III,atten_nback,VP019,SingLEM,CBraMod,0.8703703703703703,0.7314814814814815,0.138888888889,,
strict_svm,Tables II-III,atten_nback,VP020,SingLEM,CBraMod,0.8888888888888888,0.6203703703703703,0.268518518519,,
strict_svm,Tables II-III,atten_nback,VP021,SingLEM,CBraMod,0.8240740740740741,0.7777777777777778,0.046296296296,,
strict_svm,Tables II-III,atten_nback,VP022,SingLEM,CBraMod,0.8888888888888888,0.8425925925925926,0.046296296296,,
strict_svm,Tables II-III,atten_nback,VP023,SingLEM,CBraMod,0.8796296296296297,0.8425925925925926,0.037037037037,,
strict_svm,Tables II-III,atten_nback,VP024,SingLEM,CBraMod,0.7407407407407407,0.7592592592592593,-0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP025,SingLEM,CBraMod,0.9444444444444444,0.9074074074074074,0.037037037037,,
strict_svm,Tables II-III,atten_nback,VP026,SingLEM,CBraMod,0.8425925925925926,0.7870370370370371,0.055555555556,,
strict_svm,Tables II-III,atten_nback,VP001,SingLEM,CodeBrain,0.7129629629629629,0.6018518518518519,0.111111111111,,
strict_svm,Tables II-III,atten_nback,VP002,SingLEM,CodeBrain,0.8240740740740741,0.8518518518518519,-0.027777777778,,
strict_svm,Tables II-III,atten_nback,VP003,SingLEM,CodeBrain,0.8981481481481481,0.8796296296296297,0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP004,SingLEM,CodeBrain,0.5,0.48148148148148145,0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP005,SingLEM,CodeBrain,0.8425925925925926,0.8333333333333334,0.009259259259,,
strict_svm,Tables II-III,atten_nback,VP006,SingLEM,CodeBrain,0.8703703703703703,0.8518518518518519,0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP007,SingLEM,CodeBrain,0.9166666666666666,0.7777777777777778,0.138888888889,,
strict_svm,Tables II-III,atten_nback,VP008,SingLEM,CodeBrain,0.9629629629629629,0.8981481481481481,0.064814814815,,
strict_svm,Tables II-III,atten_nback,VP009,SingLEM,CodeBrain,0.8981481481481481,0.9166666666666666,-0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP010,SingLEM,CodeBrain,0.7777777777777778,0.6759259259259259,0.101851851852,,
strict_svm,Tables II-III,atten_nback,VP011,SingLEM,CodeBrain,0.7407407407407407,0.6574074074074074,0.083333333333,,
strict_svm,Tables II-III,atten_nback,VP012,SingLEM,CodeBrain,0.9444444444444444,0.8055555555555556,0.138888888889,,
strict_svm,Tables II-III,atten_nback,VP013,SingLEM,CodeBrain,0.8518518518518519,0.9537037037037037,-0.101851851852,,
strict_svm,Tables II-III,atten_nback,VP014,SingLEM,CodeBrain,0.8888888888888888,0.8703703703703703,0.018518518519,,
strict_svm,Tables II-III,atten_nback,VP015,SingLEM,CodeBrain,0.8240740740740741,0.7685185185185185,0.055555555556,,
strict_svm,Tables II-III,atten_nback,VP016,SingLEM,CodeBrain,0.8333333333333334,0.8425925925925926,-0.009259259259,,
strict_svm,Tables II-III,atten_nback,VP017,SingLEM,CodeBrain,0.8796296296296297,0.7962962962962963,0.083333333333,,
strict_svm,Tables II-III,atten_nback,VP018,SingLEM,CodeBrain,0.8333333333333334,0.7592592592592593,0.074074074074,,
strict_svm,Tables II-III,atten_nback,VP019,SingLEM,CodeBrain,0.8703703703703703,0.8055555555555556,0.064814814815,,
