evaluation_setting,manuscript_table,dataset,subject,primary,baseline,primary_accuracy,baseline_accuracy,difference_primary_minus_baseline,calibration_trial_ids_sha256,test_trial_ids_sha256
strict_svm,Tables II-III,dreyer,B74,SingLEM,LaBraM,0.63125,0.50625,0.125,,
strict_svm,Tables II-III,dreyer,B75,SingLEM,LaBraM,0.7375,0.44375,0.29375,,
strict_svm,Tables II-III,dreyer,B76,SingLEM,LaBraM,0.775,0.5125,0.2625,,
strict_svm,Tables II-III,dreyer,B77,SingLEM,LaBraM,0.7375,0.55,0.1875,,
strict_svm,Tables II-III,dreyer,B78,SingLEM,LaBraM,0.58125,0.49375,0.0875,,
strict_svm,Tables II-III,dreyer,B79,SingLEM,LaBraM,0.86875,0.6,0.26875,,
strict_svm,Tables II-III,dreyer,B80,SingLEM,LaBraM,0.66875,0.4875,0.18125,,
strict_svm,Tables II-III,dreyer,B81,SingLEM,LaBraM,0.81875,0.56875,0.25,,
strict_svm,Tables II-III,dreyer,B61,SingLEM,CBraMod,0.86875,0.775,0.09375,,
strict_svm,Tables II-III,dreyer,B62,SingLEM,CBraMod,0.65625,0.70625,-0.05,,
strict_svm,Tables II-III,dreyer,B63,SingLEM,CBraMod,0.7,0.70625,-0.00625,,
strict_svm,Tables II-III,dreyer,B64,SingLEM,CBraMod,0.75,0.65,0.1,,
strict_svm,Tables II-III,dreyer,B65,SingLEM,CBraMod,0.79375,0.8125,-0.01875,,
strict_svm,Tables II-III,dreyer,B66,SingLEM,CBraMod,0.78125,0.8125,-0.03125,,
strict_svm,Tables II-III,dreyer,B67,SingLEM,CBraMod,0.88125,0.875,0.00625,,
strict_svm,Tables II-III,dreyer,B68,SingLEM,CBraMod,0.65625,0.5875,0.06875,,
strict_svm,Tables II-III,dreyer,B69,SingLEM,CBraMod,0.7125,0.70625,0.00625,,
strict_svm,Tables II-III,dreyer,B70,SingLEM,CBraMod,0.75625,0.675,0.08125,,
strict_svm,Tables II-III,dreyer,B71,SingLEM,CBraMod,0.75,0.64375,0.10625,,
strict_svm,Tables II-III,dreyer,B72,SingLEM,CBraMod,0.83125,0.70625,0.125,,
