subject,best_val_f1,best_epoch,selection_epochs_run,refit_epochs,accuracy,f1_macro,precision_macro,recall_macro,kappa
sub-001,0.7032442786308765,25,55,25,0.6833333333333333,0.6856608603492158,0.6914602203223851,0.6833333333333335,0.525
sub-002,0.6867507123799784,44,74,44,0.8833333333333333,0.8823259357661953,0.8834101664134667,0.8833333333333334,0.825
sub-003,0.6953433191659396,63,93,63,0.5,0.4954980409485307,0.529704911825165,0.5,0.2499999999999999
sub-004,0.7176551254595589,25,55,25,0.63,0.6215909090909091,0.6245331069609508,0.63,0.44499999999999995
sub-005,0.6959865327032521,28,58,28,0.5866666666666667,0.5860436413233511,0.617274505301209,0.5866666666666668,0.38
sub-006,0.717255282083754,44,74,44,0.6033333333333334,0.603206627075272,0.6710065149852241,0.6033333333333334,0.4049999999999999
sub-007,0.6554206438207245,22,52,22,0.8233333333333334,0.8210824838603265,0.822522613846398,0.8233333333333333,0.735
sub-008,0.7519846161951426,16,46,16,0.65,0.6383291078362427,0.6594018290406868,0.65,0.475
sub-009,0.6912003947174638,76,100,76,0.7366666666666667,0.7352938672595842,0.7354090354090355,0.7366666666666667,0.605
sub-010,0.713244370663602,22,52,22,0.6020066889632107,0.5998310368625211,0.5991901400779905,0.6025589225589225,0.40305343511450376
sub-011,0.7577875718760648,27,57,27,0.36333333333333334,0.36114950940532337,0.36728395061728397,0.36333333333333334,0.04500000000000004
