channel,n_subjects,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,kappa_mean,kappa_std
Fpz,51,57.384471376490296,8.440393326834835,56.744971108540355,8.979870633893825,57.73850938377277,8.463934194259169,57.386908298673,8.439964743732812,0.14773218612548408,0.1687994552244324
Fp1,51,62.50438466844024,9.672864606725467,61.77738206552864,10.25735189884488,63.14861294682491,10.008784708006955,62.50445632798575,9.673929575110643,0.2500845120164181,0.19346469232085342
Fp2,51,59.02192334220121,8.579729088858748,58.773314609199424,8.605158546262105,59.28065769670968,8.764076938146689,59.02139037433155,8.579482515923196,0.18043038257661115,0.17159092865934555
AF3,51,62.89718198837324,9.07505497354944,62.52655595849211,9.190320546687882,63.401401419254114,9.242233729386587,62.89661319073085,9.074685880916403,0.25793627446944445,0.1814956099815453
AF4,51,61.26825302985516,8.819031032252262,60.75268424775055,9.108022915431162,61.779411465423685,8.977274407921646,61.268568033273915,8.819182415484233,0.22536918672895073,0.17638261869911717
AF7,51,65.97556409498473,10.710122847823794,65.30934007540091,11.34207046616445,66.69094701446116,10.979405462076928,65.97544068132302,10.710780947573106,0.31950663035211807,0.21420634009119452
AF8,51,66.98659966499162,10.856301371990114,66.80070760299324,10.902997258752958,67.38722547689153,11.047845592503998,66.986531986532,10.855691118341465,0.3397335101305589,0.21712464688111546
Fz,51,59.26711991329196,9.305054414031586,58.53850693466411,9.951636483741124,59.596592276805126,9.434807582765202,59.26936026936027,9.304592190949599,0.18538037119641287,0.1860935225382221
F1,51,63.897674647748545,9.78592321108298,63.38000831647894,10.316934060277278,64.26920827553198,9.861977430823279,63.897603485838786,9.785943199095332,0.2779521539838098,0.19571764824812926
F2,51,63.849295497093316,10.347955837651142,63.55043338708553,10.503446851615058,64.21114680243592,10.43451272728063,63.84888096652802,10.34741740126342,0.27698187751946846,0.20695381316139347
F3,51,66.39787171149867,10.088832814943057,65.88565200797868,10.574412626774093,66.98954025914713,10.127492625522889,66.3973063973064,10.088028156037183,0.3279527899996286,0.2017706796901378
F4,51,65.84949256084343,10.538527238824736,65.56052943688559,10.684727591474438,66.28348131820604,10.70018501227157,65.84858387799565,10.537183300346811,0.31698281121173305,0.21076403360056492
F5,51,68.5056163168785,10.264602647963367,67.99091098353063,10.807252718304499,69.20013548079676,10.347685411441955,68.50406020994257,10.263850142743038,0.37009553054989686,0.20528587377936536
F6,51,69.29121095674451,11.330742503355953,69.09555398667459,11.45655857382768,69.66509716281467,11.438235819501703,69.29005743711627,11.32931032213205,0.38581622650508673,0.22660665314736994
F7,51,69.04512759877821,10.753670336758049,68.52824784005462,11.309745953954618,69.73260771197097,10.859835543955176,69.04357298474946,10.752548688398594,0.38088782194871534,0.21506607176077175
F8,51,70.49674844812297,11.96997934917119,70.17050329376553,12.447287654046868,70.79738730480402,12.206725127913403,70.49623687858981,11.969504658691971,0.40993097677747886,0.2393974204131181
FCz,51,62.757907182973696,11.08317748969042,62.46459506923788,11.241410145603963,63.0699255769478,11.130718841652394,62.76005149534561,11.082554090801557,0.2551925628283319,0.22165402121674607
FC1,51,65.74115676421323,10.239919419654441,65.40633566902795,10.513316026272568,66.13626189548272,10.248159545991097,65.74093879976233,10.239772498271789,0.31482050677807627,0.20479611773231385
FC2,51,64.6718395901074,10.087323686623526,64.51223080371176,10.144884031816833,64.91428294797487,10.212651938820203,64.67092493563081,10.086049748194675,0.29342867659798694,0.20173663744838502
FC3,51,67.72135185732586,10.048708603401298,67.49495592424418,10.14593293724915,68.173693805567,10.231188038281207,67.72043969102793,10.047495454347901,0.3544198078574353,0.20096522141167858
FC4,51,66.66331658291458,10.797919722173662,66.5079928679211,10.809578611866874,67.03982751948554,11.0260484130275,66.66211130917013,10.796075615894592,0.33325786672057134,0.21594772059168946
FC5,51,69.55537491378462,11.058579143023056,69.14857269677351,11.503420628960805,70.11926264559094,11.18970718641188,69.55397108338285,11.056807912519865,0.39109786722376627,0.2211602475333683
FC6,51,69.73169770420732,11.880097296673169,69.61099086759936,11.938763582079016,70.00744807121796,11.986238745819499,69.73073876015053,11.878886848098162,0.3946278056690698,0.23759823732947047
FT7,51,70.82914572864321,10.150878351392308,70.3729075328191,10.689808095001412,71.53219165130056,10.137425607176228,70.82798573975046,10.15002061523571,0.4165725825141542,0.20301353246693937
FT8,51,71.03611193221006,12.046467043842101,70.89066680712381,12.168370325973436,71.30125546067929,12.113571030550053,71.03525450584274,12.045479892830459,0.42071679723454225,0.2409262224205908
Cz,51,63.51389299438368,9.765661903245993,63.06824816120674,10.134214348482558,64.04165273900242,9.784157774413666,63.51574569221627,9.766870097526002,0.27030003029125926,0.1953267864501237
C1,51,63.93733372746083,10.6770147431338,63.75654053615092,10.767306321285993,64.17009974247173,10.846665397323124,63.93701723113489,10.676403735707304,0.27874443352143463,0.21353593017675243
C2,51,63.71938121982461,9.067455007173317,63.57067342091707,9.070388854854745,64.01631195680487,9.337137550658918,63.71845910081204,9.066891215728944,0.274376013749477,0.18134204042605215
C3,51,65.11360725194601,9.382619865740734,64.76449576508647,9.69200470464556,65.5330213113802,9.77827467957911,65.1131907308378,9.381547772340351,0.30227006383230315,0.18764685143149734
C4,51,64.75923736328703,8.770484716539158,64.56093283547948,8.779079282535578,65.16878168314759,9.063685924968125,64.75698158051098,8.768328517358738,0.29516011682520493,0.1753861980052544
C5,51,67.07187900285743,9.89684551216942,66.76283667296032,10.037431727024748,67.66306760803961,10.18198393609163,67.07308377896614,9.89530849669746,0.34145919413766196,0.19791379241915713
