channel,subject,best_params,validation_f1_macro,accuracy,f1_macro,precision_macro,recall_macro,kappa
Fpz,sub-001,"{""C"": 11.288378916846883, ""gamma"": ""scale""}",0.5923751648942488,0.605,0.6049111049986247,0.6050945851266138,0.605,0.20999999999999996
Fp1,sub-001,"{""C"": 2.636650898730358, ""gamma"": ""scale""}",0.6361156471523046,0.67,0.6698679471788715,0.6702724358974359,0.6699999999999999,0.33999999999999997
Fp2,sub-001,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6223087938268749,0.685,0.6849291090495362,0.6851666499849864,0.685,0.37
AF3,sub-001,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6415092261305728,0.64,0.63996399639964,0.6400560224089635,0.64,0.28
AF4,sub-001,"{""C"": 1.2742749857031335, ""gamma"": ""scale""}",0.6239864635126864,0.665,0.6631049654305469,0.6687979539641944,0.665,0.32999999999999996
AF7,sub-001,"{""C"": 3.79269019073225, ""gamma"": ""auto""}",0.6694711538461539,0.77,0.7691690084303493,0.7739448051948052,0.77,0.54
AF8,sub-001,"{""C"": 1.8329807108324356, ""gamma"": ""auto""}",0.6808723489395758,0.785,0.7849946248656217,0.785028502850285,0.785,0.5700000000000001
Fz,sub-001,"{""C"": 33.59818286283781, ""gamma"": ""auto""}",0.6129534260640772,0.65,0.6457131288591963,0.6576292559899117,0.65,0.30000000000000004
F1,sub-001,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6429967869710826,0.75,0.7493734335839599,0.7525252525252526,0.75,0.5
F2,sub-001,"{""C"": 0.6158482110660264, ""gamma"": ""scale""}",0.6559996559996559,0.665,0.6649246080368083,0.6651486337703933,0.665,0.32999999999999996
F3,sub-001,"{""C"": 0.42813323987193935, ""gamma"": ""scale""}",0.6734999183749796,0.735,0.7330714411623983,0.7419936154875914,0.735,0.47
F4,sub-001,"{""C"": 23.357214690901213, ""gamma"": ""auto""}",0.6767815042969048,0.69,0.6897207486738064,0.690686471296668,0.69,0.38
F5,sub-001,"{""C"": 2.636650898730358, ""gamma"": ""auto""}",0.6858036272670418,0.75,0.748389694041868,0.756568144499179,0.75,0.5
F6,sub-001,"{""C"": 0.8858667904100825, ""gamma"": ""auto""}",0.7044999261249816,0.815,0.8147730970438787,0.8165511003919204,0.815,0.63
F7,sub-001,"{""C"": 0.8858667904100825, ""gamma"": ""scale""}",0.6983967762966876,0.725,0.7224955220868337,0.7334267040149394,0.725,0.44999999999999996
